pathogen	classification	hosts	transmission	disease
Louping ill virus	Flavivirus,Flaviviridae	Human, mammals, ticks	Zoonosis, arthropod bite	Encephalitis
Lymphocytic choriomeningitis virus	Arenavirus,Arenaviridae	Human, rodents	Zoonosis, fomite	Encephalitis
Machupo virus	Arenavirus,Arenaviridae	Human, monkeys, mouse	Zoonosis, fomite	Encephalitis
Mayaro virus	Alphavirus,Togaviridae	Human, mosquitoes	Zoonosis, arthropod bite	Fever, joint pain
MERS coronavirus	Betacoronavirus,Coronaviridae	Human, Tomb bat	Zoonosis	Respiratory
Measles virus	Morbilivirus,Paramyxoviridae	Human	Respiratory	Fever, rash
Mengo encephalomyocarditis virus	Cardiovirus,Picornaviridae	Human, mouse, rabbit	Zoonosis	Encephalitis
Merkel cell polyomavirus	Polyomavirus,Polyomaviridae	Human	-	Merkel cell carcinoma
Mokola virus	Lyssavirus,Rhabdoviridae	Human, rodents, cat, dog shrew	Zoonosis, animal bite	Encephalitis
Molluscum contagiosum virus	Molluscipoxvirus,Poxviridae	Human	Contact	Skin lesions
Monkeypox virus	Orthopoxvirus,Poxviridae	Human, mouse, prairie dog	Zoonosis, contact	Skin lesions
Mumps virus	Rubulavirus,Paramyxoviridae	Human	Respiratory, saliva	Mumps
Murray valley encephalitis virus	Flavivirus,Flaviviridae	Human, mosquitoes	Zoonosis, arthropod bite	Encephalitis
New York virus	Hantavirus,Bunyavirus	Human, mouse	Zoonosis, urine, saliva	Hemorrhagic fever
Nipah virus	Henipavirus,Paramyxoviridae	Human, bats	Zoonosis, animal bite	Encephalitis
Norwalk virus	Norovirus,Caliciviridae	Human	Fecal-oral	Gastroenteritis
O'nyong-nyong virus	Alphavirus,Togaviridae	Human, mosquitoes	Zoonosis, arthropod bite	Fever, joint pain
Orf virus	Parapoxvirus,Poxviridae	Human, mammals	Zoonosis, contact	Skin lesions
Oropouche virus	Orthobunyavirus,Bunyaviridae	Human, wild animals(sloths)	Zoonosis, arthropod bite	Fever, joint pain
Pichinde virus	Arenavirus,Arenaviridae	Human, rat, guinea pig	Zoonosis, fomite	Hemorrhagic fever
Poliovirus	Enterovirus,Picornaviridae	Human, mammals	Fecal-oral	Poliomyelitis
Punta toro phlebovirus	Phlebovirus,Bunyaviridae	Human, sandflies	Zoonosis, arthropod bite	Hemorrhagic fever
Puumala virus	Hantavirus,Bunyavirus	Human, bank vole	Zoonosis, urine, saliva	Hemorrhagic fever
Rabies virus	Lyssavirus,Rhabdoviridae	Human, mammals	Zoonosis, animal bite	Fatal encephalitis
Rift valley fever virus	Phlebovirus,Bunyaviridae	Human, mammals, mosquitoes, sandflies	Zoonosis, arthropod bite	Hemorrhagic fever
Rosavirus A	Rosavirus,Picornaviridae	Human		
Ross river virus	Alphavirus,Togaviridae	Human, mosquitoes, marsupials	Zoonosis, arthropod bite	Fever, joint pain
Rotavirus A	Rotavirus,Reoviridae	Human	Fecal-oral	Gastroenteritis
Rotavirus B	Rotavirus,Reoviridae	Human	Fecal-oral	Gastroenteritis
Rotavirus C	Rotavirus,Reoviridae	Human	Fecal-oral	Gastroenteritis
Rubella virus	Rubivirus,Togaviridae	Human	Respiratory	Rubella
Sagiyama virus	Alphavirus,Togaviridae	Human, horse, pig, mosquitoes	Zoonosis, arthropod bite	Fever, joint pain
Salivirus A	Salivirus,Picornaviridae	Human		Gastroenteritis
Sandfly fever sicilian virus	Phlebovirus,Bunyaviridae	Human, sandflies	Zoonosis, arthropod bite	Hemorrhagic fever
Sapporo virus	Sapovirus,Caliciviridae	Human	Fecal-oral	Gastroenteritis
Semliki forest virus	Alphavirus,Togaviridae	Human, birds, hedgehog, mosquitoes	Zoonosis, arthropod bite	Fever, joint pain
Seoul virus	Hantavirus,Bunyavirus	Human, rats	Zoonosis, urine, saliva	Hemorrhagic fever
Simian foamy virus	Spumavirus,Retroviridae	Human, monkeys	Zoonosis, contact	None
Simian virus 5	Rubulavirus,Paramyxoviridae	Human, dog	Zoonosis, contact	Undocumented
Sindbis virus	Alphavirus,Togaviridae	Human, birds, mosquitoes	Zoonosis, arthropod bite	Fever, joint pain
Southampton virus	Norovirus,Caliciviridae	Human	Fecal-oral	Gastroenteritis
St. louis encephalitis virus	Flavivirus,Flaviviridae	Human, birds, mosquitoes	Zoonosis, arthropod bite	Encephalitis
Tick-borne powassan virus	Flavivirus,Flaviviridae	Human, ticks	Zoonosis, arthropod bite	Encephalitis
Torque teno virus	Alphatorquevirus,Anelloviridae	Human	Sexual, blood	None
Toscana virus	Phlebovirus,Bunyaviridae	Human, mosquitoes	Zoonosis, arthropod bite	Hemorrhagic fever
Uukuniemi virus	Phlebovirus,Bunyaviridae	Human, ticks	Zoonosis, arthropod bite	Hemorrhagic fever
Vaccinia virus	Orthopoxvirus,Poxviridae	Human, mammals	Contact	None
Varicella-zoster virus	Varicellovirus,Herpesviridae	Human	Respiratory, contact	Varicella
Variola virus	Orthopoxvirus,Poxviridae	Human	Respiratory	Variola
Venezuelan equine encephalitis virus	Alphavirus,Togaviridae	Human, rodents, mosquitoes	Zoonosis, arthropod bite	Fever, joint pain
Vesicular stomatitis virus	Vesiculovirus,Rhabdoviridae	Human, cattle, horse, pig, flies	Zoonosis, athropod bite	Encephalitis
Western equine encephalitis virus	Alphavirus,Togaviridae	Human, vertebrates, mosquitoes	Zoonosis, arthropod bite	Fever, joint pain
WU polyomavirus	Polyomavirus,Polyomaviridae	Human	Respiratory fluids or urine	None
West Nile virus	Flavivirus,Flaviviridae	Human, birds, ticks, mosquitoes	Zoonosis, arthropod bite	Hemorrhagic fever
Yaba monkey tumor virus	Orthopoxvirus,Poxviridae	Human, monkeys	Zoonosis, contact	None
Yaba-like disease virus	Orthopoxvirus,Poxviridae	Human, monkeys	Zoonosis, contact	None
Yellow fever virus	Flavivirus,Flaviviridae	Human, monkeys, mosquitoes	Zoonosis, arthropod bite	Hemorrhagic fever
Zika virus	Flavivirus,Flaviviridae	Human, monkeys, mosquitoes	Zoonosis, arthropod bite	Fever, joint pain, rash
