n	pathogen	note	group	category
59	Alkhurma virus		Tickborne hemorrhagic fever viruses; Flaviruses	Category C Priority Pathogens
60	Kyasanur Forest virus		Tickborne hemorrhagic fever viruses; Flaviruses	Category C Priority Pathogens
61	Tickborne encephalitis viruses		Tickborne encephalitis complex flaviviruses	Category C Priority Pathogens
62	European subtype		Tickborne encephalitis complex flaviviruses	Category C Priority Pathogens
63	Far Eastern subtype		Tickborne encephalitis complex flaviviruses	Category C Priority Pathogens
64	Siberian subtype		Tickborne encephalitis complex flaviviruses	Category C Priority Pathogens
65	Powassan/Deer Tick virus		Tickborne encephalitis complex flaviviruses	Category C Priority Pathogens
66	Yellow fever virus			Category C Priority Pathogens
67	Tuberculosis			Category C Priority Pathogens
68	including drug-resistant TB			Category C Priority Pathogens
69	Influenza virus			Category C Priority Pathogens
70	Other Rickettsias			Category C Priority Pathogens
71	Rabies virus			Category C Priority Pathogens
72	Prions			Category C Priority Pathogens
73	Chikungunya virus			Category C Priority Pathogens
74	Coccidioides spp.			Category C Priority Pathogens
75	Severe acute respiratory syndrome associated coronavirus	SARS-CoV		Category C Priority Pathogens
76	MERS-CoV			Category C Priority Pathogens
77	other highly pathogenic human coronaviruses			Category C Priority Pathogens
78	Acanthamebiasis			Additional Emerging Infectious Diseases/Pathogens
79	Anaplasmosis	new in FY 14		Additional Emerging Infectious Diseases/Pathogens
80	Aspergillus	new in FY 14		Additional Emerging Infectious Diseases/Pathogens
81	Australian bat lyssavirus			Additional Emerging Infectious Diseases/Pathogens
82	Babesia, atypical			Additional Emerging Infectious Diseases/Pathogens
83	Bartonella henselae			Additional Emerging Infectious Diseases/Pathogens
84	BK virus	new in FY 14		Additional Emerging Infectious Diseases/Pathogens
85	Bordetella pertussis	new in FY 15		Additional Emerging Infectious Diseases/Pathogens
86	Borrelia miyamotoi	new in FY 14		Additional Emerging Infectious Diseases/Pathogens
87	Clostridium difficile			Additional Emerging Infectious Diseases/Pathogens
88	Cryptococcus gattii	new in FY 14		Additional Emerging Infectious Diseases/Pathogens
89	Ehrlichiosis			Additional Emerging Infectious Diseases/Pathogens
90	Enterococcus faecium			Additional Emerging Infectious Diseases/Pathogens
91	Enterococcus faecalis	new in FY 14		Additional Emerging Infectious Diseases/Pathogens
92	Enterovirus 68	new in FY 15		Additional Emerging Infectious Diseases/Pathogens
93	Enterovirus 71			Additional Emerging Infectious Diseases/Pathogens
94	Hepatitis C	new in FY 14		Additional Emerging Infectious Diseases/Pathogens
95	Hepatitis E	new in FY 14		Additional Emerging Infectious Diseases/Pathogens
96	Human herpesvirus 8			Additional Emerging Infectious Diseases/Pathogens
97	Human herpesvirus 6			Additional Emerging Infectious Diseases/Pathogens
98	JC virus	new in FY 14		Additional Emerging Infectious Diseases/Pathogens
99	Leptospirosis	new in FY 14		Additional Emerging Infectious Diseases/Pathogens
100	Lyme borreliosis			Additional Emerging Infectious Diseases/Pathogens
101	Mucormycosis	new in FY 14		Additional Emerging Infectious Diseases/Pathogens
102	Mumps virus			Additional Emerging Infectious Diseases/Pathogens
103	Poliovirus	new in FY 15		Additional Emerging Infectious Diseases/Pathogens
104	Rubeola	measles, new in FY 14		Additional Emerging Infectious Diseases/Pathogens
105	Streptococcus, Group A			Additional Emerging Infectious Diseases/Pathogens
106	Staphylococcus aureus			Additional Emerging Infectious Diseases/Pathogens
